Season,Teams,Hitter,AB,R,H,RBI,BB,K,SLG,AVG,OBP
2016,SF,M. Cain,27,1,2,5,0,17,0.103,0.074,0.107
2016,SF,M. Williamson,112,14,25,15,13,35,0.390,0.223,0.310
2016,SF,D. Law,1,0,0,0,0,0,0.000,0.000,0.000
2016,SF,M. Broadway,0,0,0,0,0,0,0,0,0
2016,SF,S. Okert,1,0,0,0,0,1,0.000,0.000,0.000
2016,SF,C. Gillaspie,210,27,58,31,12,33,0.414,0.276,0.359
2016,SF,V. Mazzaro,1,0,0,0,0,1,0.000,0.000,0.000
2016,SF,A. Suarez,21,1,4,2,0,11,0.176,0.190,0.227
2016,SF,J. Parker,129,22,32,14,20,44,0.430,0.248,0.358
2016,SF,C. Stratton,1,0,0,0,0,0,0.000,0.000,0.000
2016,SF,R. Pena,87,9,26,10,2,16,0.510,0.299,0.365
2016,SF,R. Tejada,32,3,5,2,5,5,0.220,0.156,0.229
2016,SF,G. Green,46,7,12,7,3,8,0.423,0.261,0.358
2016,SF,M. Reynolds,0,0,0,0,0,0,0,0,0
2016,SF,E. Nunez,185,24,49,20,14,30,0.391,0.265,0.349
2016,SF,W. Smith,0,0,0,0,0,0,0,0,0
2016,SF,M. Moore,27,2,2,1,0,12,0.043,0.074,0.138
2016,SF,G. Hernandez,60,7,15,4,3,13,0.422,0.250,0.328
2016,SF,J. Nathan,0,0,0,0,0,0,0,0,0
2016,SF,T. Blach,4,1,2,0,0,0,0.375,0.500,0.600
2016,SF,G. Beckham,5,0,0,1,0,2,0.349,0.000,0.000
2016,MIL,D. Santana,249,36,63,32,35,92,0.404,0.253,0.347
2016,MIL,J. Villar,594,92,171,63,81,175,0.433,0.288,0.383
2016,MIL,R. Braun,511,80,156,91,46,98,0.542,0.305,0.399
2016,MIL,B. Boyer,1,0,0,0,0,0,0.000,0.000,0.000
2016,MIL,J. Lucroy,350,54,103,51,34,72,0.442,0.294,0.389
2016,MIL,C. Carter,551,84,122,95,76,206,0.529,0.221,0.324
2016,MIL,A. Hill,258,34,73,29,31,45,0.339,0.283,0.366
2016,MIL,S. Gennett,504,59,131,56,38,117,0.440,0.260,0.337
2016,MIL,W. Peralta,41,2,5,6,0,17,0.119,0.122,0.163
2016,MIL,C. Torres,0,0,0,0,0,0,0,0,0
2016,MIL,C. Capuano,0,0,0,0,2,0,0,0,0
2016,MIL,K. Nieuwenhuis,342,39,73,47,56,134,0.388,0.213,0.294
2016,MIL,A. Pena,0,0,0,0,0,0,0,0,0
2016,MIL,C. Walsh,47,4,4,2,16,22,0.102,0.085,0.157
2016,MIL,K. Broxton,207,28,50,19,36,88,0.289,0.242,0.332
2016,MIL,R. Flores,250,18,51,19,31,59,0.240,0.204,0.257
2016,MIL,J. Nelson,50,1,4,3,2,32,0.127,0.080,0.098
2016,MIL,M. Blazek,0,1,0,0,0,0,0,0,0
2016,MIL,J. Jeffress,0,0,0,0,0,0,0,0,0
2016,MIL,T. Jungmann,8,1,1,0,0,4,0.271,0.125,0.222
2016,MIL,T. Thornburg,0,0,0,0,0,0,0,0,0
2016,MIL,C. Anderson,45,3,4,1,1,27,0.067,0.089,0.146
2016,MIL,S. Freeman,0,0,0,0,0,0,0,0,0
2016,MIL,T. Cravy,4,1,1,1,0,1,0.583,0.250,0.400
2016,MIL,Y. Rivera,66,12,14,3,2,20,0.374,0.212,0.333
2016,MIL,M. Maldonado,210,21,42,21,36,58,0.281,0.200,0.273
2016,MIL,Z. Davies,53,2,5,1,1,22,0.069,0.094,0.127
2016,MIL,A. Presley,120,12,24,12,13,26,0.423,0.200,0.273
2016,MIL,H. Perez,405,50,110,56,18,95,0.458,0.272,0.352
2016,MIL,D. Goforth,0,0,0,0,0,0,0,0,0
2016,MIL,J. Guerra,35,2,8,0,0,13,0.173,0.229,0.270
2016,MIL,M. Kirkman,0,0,0,0,0,0,0,0,0
2016,MIL,J. Marinez,3,0,0,0,0,1,0.000,0.000,0.000
2016,MIL,W. Smith,0,0,0,0,0,0,0,0,0
2016,MIL,N. Ramirez,0,0,0,0,0,0,0,0,0
2016,MIL,J. Barnes,0,0,0,0,0,0,0,0,0
2016,MIL,C. Knebel,0,0,0,0,0,0,0,0,0
2016,MIL,M. Garza,28,1,1,0,2,17,0.096,0.036,0.069
2016,MIL,J. Elmore,78,7,17,4,17,17,0.205,0.218,0.282
2016,MIL,W. Middlebrooks,27,2,3,1,4,13,0.172,0.111,0.172
2016,MIL,A. Wilkins,24,3,3,3,3,10,0.208,0.125,0.222
2016,MIL,M. Pina,71,4,18,12,10,15,0.463,0.254,0.293
2016,MIL,O. Arcia,201,21,44,17,15,47,0.292,0.219,0.293
2016,MIL,R. Scahill,0,0,0,0,0,0,0,0,0
2016,MIL,D. Magnifico,0,0,0,0,0,0,0,0,0
2016,MIL,B. Suter,2,0,0,0,0,1,0.000,0.000,0.000
2016,MIL,B. Rowen,0,0,0,0,0,0,0,0,0
2016,MIL,A. Susac,17,3,4,2,2,5,0.282,0.235,0.350
2016,MIL,M. Reed,22,3,4,0,2,7,0.155,0.182,0.280
2016,MIL,J. Pinto,5,1,0,0,1,4,0.000,0.000,0.167
2016,MIN,B. Dozier,615,104,165,99,61,138,0.440,0.268,0.374
2016,MIN,J. Mauer,494,68,129,49,79,93,0.414,0.261,0.351
2016,MIN,M. Sano,437,57,103,66,54,178,0.415,0.236,0.324
2016,MIN,T. Plouffe,319,35,83,47,19,60,0.398,0.260,0.333
2016,MIN,E. Rosario,335,52,90,32,12,91,0.378,0.269,0.367
2016,MIN,B. Park,215,28,41,24,21,80,0.480,0.191,0.284
